dir path	filename	child age	# participants	partipant type	# adults
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_46	2;6.12	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_05a_ornat	1;10.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_14g_ornat	2;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_01c_ornat	1;7.	4	Mother;Father;Grandmother;Uncle;	4
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_51	2;8.27	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_13a_ornat	2;8.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_14c_ornat	2;11.	1	Father;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_13d_ornat	2;8.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_10c_ornat	2;4.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_47	2;6.26	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_07f_ornat	2;0.	2	Father;Aunt;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_12	1;6.16	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_02b_ornat	1;7.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_02	1;1.25	1	Mother;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_09g_ornat	2;02.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_03d_ornat	1;9.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_13b_ornat	2;8.	1	Father;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_11e_ornat	2;5.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_08	1;5.01	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_02c_ornat	1;7.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_41	2;4.13	1	Mother;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_14a_ornat	2;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_06g_ornat	1;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_55	2;10.28	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_08e_ornat	2;01.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_19	2;3.	2	Mother;Investigator;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_06e_ornat	1;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_08b_ornat	2;01.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_37	2;2.29	2	Mother;Father;	2
